        起 点 站        终 点 站        飞 行 日 期        航 班 号        飞 机 号        乘 载 量        余 票 量
            西安  --->      北京           20200601          PN7088           P0857             100             100
            西安  --->      上海           20200601          PN0441           P0843             100             100
            西安  --->      成都           20200601          PN2728           P0371             100             100
            西安  --->      广州           20200601          PN0674           P0176             100             100
            西安  --->      深圳           20200601          PN2279           P0590             100             100
            西安  --->      香港           20200601          PN7484           P0221             100             100
            西安  --->      昆明           20200601          PN9441           P0202             100             100
            西安  --->      杭州           20200601          PN2510           P0117             100             100
            西安  --->      厦门           20200601          PN8986           P0042             100             100
            深圳  --->      北京           20200601          ZH1706           P0261             100             100
            深圳  --->      上海           20200601          ZH8010           P0115             100             100
            深圳  --->      成都           20200601          ZH5965           P0289             100             100
            深圳  --->      广州           20200601          ZH1021           P0491             100             100
            深圳  --->      西安           20200601          ZH2903           P0485             100             100
            深圳  --->      香港           20200601          ZH2734           P0004             100             100
            深圳  --->      昆明           20200601          ZH1484           P0605             100             100
            深圳  --->      杭州           20200601          ZH4597           P0361             100             100
            深圳  --->      厦门           20200601          ZH6858           P0144             100             100
            香港  --->      北京           20200601          HK5982           P0672             100             100
            香港  --->      上海           20200601          HK0939           P0867             100             100
            香港  --->      成都           20200601          HK0092           P0185             100             100
            香港  --->      广州           20200601          HK8237           P0947             100             100
            香港  --->      西安           20200601          HK3805           P0982             100             100
            香港  --->      深圳           20200601          HK0321           P0229             100             100
            香港  --->      昆明           20200601          HK2592           P0499             100             100
            香港  --->      杭州           20200601          HK8433           P0417             100             100
            香港  --->      厦门           20200601          HK0341           P0799             100             100
            昆明  --->      北京           20200601          KY3797           P0844             100             100
            昆明  --->      上海           20200601          KY4612           P0979             100             100
            昆明  --->      成都           20200601          KY2184           P0813             100             100
            昆明  --->      广州           20200601          KY1616           P0571             100             100
            昆明  --->      西安           20200601          KY3526           P0363             100             100
            昆明  --->      深圳           20200601          KY2061           P0619             100             100
            昆明  --->      香港           20200601          KY7001           P0916             100             100
            昆明  --->      杭州           20200601          KY8144           P0156             100             100
            昆明  --->      厦门           20200601          KY9140           P0305             100             100
            杭州  --->      北京           20200601          GJ9622           P0823             100             100
            杭州  --->      上海           20200601          GJ6287           P0904             100             100
            杭州  --->      成都           20200601          GJ1384           P0434             100             100
            杭州  --->      广州           20200601          GJ1284           P0610             100             100
            杭州  --->      西安           20200601          GJ4909           P0616             100             100
            杭州  --->      深圳           20200601          GJ2490           P0103             100             100
            杭州  --->      香港           20200601          GJ8368           P0485             100             100
            杭州  --->      昆明           20200601          GJ3760           P0038             100             100
            杭州  --->      厦门           20200601          GJ0340           P0019             100             100
            厦门  --->      北京           20200601          MF9036           P0674             100             100
            厦门  --->      上海           20200601          MF6981           P0934             100             100
            厦门  --->      成都           20200601          MF0789           P0449             100             100
            厦门  --->      广州           20200601          MF4416           P0591             100             100
            厦门  --->      西安           20200601          MF3821           P0238             100             100
            厦门  --->      深圳           20200601          MF1542           P0855             100             100
            厦门  --->      香港           20200601          MF6275           P0018             100             100
            厦门  --->      昆明           20200601          MF4558           P0930             100             100
            厦门  --->      杭州           20200601          MF9960           P0382             100             100
            北京  --->      上海           20200602          JD8425           P0926             100             100
            北京  --->      成都           20200602          JD3105           P0012             100             100
            北京  --->      广州           20200602          JD2105           P0868             100             100
            北京  --->      西安           20200602          JD0236           P0703             100             100
            北京  --->      深圳           20200602          JD3844           P0142             100             100
            北京  --->      香港           20200602          JD1222           P0504             100             100
            北京  --->      昆明           20200602          JD6741           P0698             100             100
            北京  --->      杭州           20200602          JD2652           P0347             100             100
            北京  --->      厦门           20200602          JD2580           P0854             100             100
            上海  --->      北京           20200602          FM4497           P0265             100             100
            上海  --->      成都           20200602          FM6295           P0332             100             100
            上海  --->      广州           20200602          FM0928           P0638             100             100
            上海  --->      西安           20200602          FM2889           P0440             100             100
            上海  --->      深圳           20200602          FM0386           P0670             100             100
            上海  --->      香港           20200602          FM3818           P0952             100             100
            上海  --->      昆明           20200602          FM5473           P0116             100             100
            上海  --->      杭州           20200602          FM6184           P0539             100             100
            上海  --->      厦门           20200602          FM7758           P0019             100             100
            成都  --->      北京           20200602          EU7276           P0285             100             100
            成都  --->      上海           20200602          EU9760           P0657             100             100
            成都  --->      广州           20200602          EU0136           P0378             100             100
            成都  --->      西安           20200602          EU8591           P0169             100             100
            成都  --->      深圳           20200602          EU7583           P0056             100             100
            成都  --->      香港           20200602          EU1808           P0023             100             100
            成都  --->      昆明           20200602          EU5477           P0427             100             100
            成都  --->      杭州           20200602          EU1841           P0809             100             100
            成都  --->      厦门           20200602          EU2025           P0851             100             100
            广州  --->      北京           20200602          BY1512           P0092             100             100
            广州  --->      上海           20200602          BY3904           P0224             100             100
            广州  --->      成都           20200602          BY7175           P0221             100             100
            广州  --->      西安           20200602          BY0485           P0057             100             100
            广州  --->      深圳           20200602          BY6930           P0826             100             100
            广州  --->      香港           20200602          BY4765           P0225             100             100
            广州  --->      昆明           20200602          BY5956           P0512             100             100
            广州  --->      杭州           20200602          BY0447           P0691             100             100
            广州  --->      厦门           20200602          BY4895           P0013             100             100
            西安  --->      北京           20200602          PN2852           P0208             100             100
            西安  --->      上海           20200602          PN8706           P0792             100             100
            西安  --->      成都           20200602          PN5259           P0927             100             100
            西安  --->      广州           20200602          PN4864           P0416             100             100
            西安  --->      深圳           20200602          PN6049           P0924             100             100
            西安  --->      香港           20200602          PN9823           P0915             100             100
            西安  --->      昆明           20200602          PN0095           P0483             100             100
            西安  --->      杭州           20200602          PN6654           P0097             100             100
            西安  --->      厦门           20200602          PN2388           P0926             100             100
            深圳  --->      北京           20200602          ZH9387           P0767             100             100
            深圳  --->      上海           20200602          ZH1796           P0742             100             100
            深圳  --->      成都           20200602          ZH2483           P0144             100             100
            深圳  --->      广州           20200602          ZH7585           P0039             100             100
            深圳  --->      西安           20200602          ZH7147           P0505             100             100
            深圳  --->      香港           20200602          ZH1337           P0400             100             100
            深圳  --->      昆明           20200602          ZH8431           P0875             100             100
            深圳  --->      杭州           20200602          ZH6448           P0057             100             100
            深圳  --->      厦门           20200602          ZH5913           P0503             100             100
            香港  --->      北京           20200602          HK7392           P0700             100             100
            香港  --->      上海           20200602          HK0836           P0917             100             100
            香港  --->      成都           20200602          HK7983           P0793             100             100
            香港  --->      广州           20200602          HK3105           P0710             100             100
            香港  --->      西安           20200602          HK5920           P0053             100             100
            香港  --->      深圳           20200602          HK2554           P0523             100             100
            香港  --->      昆明           20200602          HK6683           P0139             100             100
            香港  --->      杭州           20200602          HK1269           P0701             100             100
            香港  --->      厦门           20200602          HK4689           P0759             100             100
            昆明  --->      北京           20200602          KY9244           P0222             100             100
            昆明  --->      上海           20200602          KY3067           P0286             100             100
            昆明  --->      成都           20200602          KY2282           P0079             100             100
            昆明  --->      广州           20200602          KY3827           P0745             100             100
            昆明  --->      西安           20200602          KY9976           P0492             100             100
            昆明  --->      深圳           20200602          KY5925           P0988             100             100
            昆明  --->      香港           20200602          KY1594           P0725             100             100
            昆明  --->      杭州           20200602          KY0231           P0490             100             100
            昆明  --->      厦门           20200602          KY3859           P0598             100             100
            杭州  --->      北京           20200602          GJ2743           P0819             100             100
            杭州  --->      上海           20200602          GJ3392           P0994             100             100
            杭州  --->      成都           20200602          GJ4612           P0177             100             100
            杭州  --->      广州           20200602          GJ0531           P0763             100             100
            杭州  --->      西安           20200602          GJ8447           P0167             100             100
            杭州  --->      深圳           20200602          GJ3039           P0013             100             100
            杭州  --->      香港           20200602          GJ8563           P0883             100             100
            杭州  --->      昆明           20200602          GJ5604           P0124             100             100
            杭州  --->      厦门           20200602          GJ1251           P0301             100             100
            厦门  --->      北京           20200602          MF8283           P0146             100             100
            厦门  --->      上海           20200602          MF1491           P0624             100             100
            厦门  --->      成都           20200602          MF9796           P0094             100             100
            厦门  --->      广州           20200602          MF6827           P0706             100             100
            厦门  --->      西安           20200602          MF0333           P0018             100             100
            厦门  --->      深圳           20200602          MF8023           P0967             100             100
            厦门  --->      香港           20200602          MF0423           P0051             100             100
            厦门  --->      昆明           20200602          MF5105           P0730             100             100
            厦门  --->      杭州           20200602          MF1124           P0559             100             100
            北京  --->      上海           20200603          JD8211           P0494             100             100
            北京  --->      成都           20200603          JD8723           P0657             100             100
            北京  --->      广州           20200603          JD7112           P0881             100             100
            北京  --->      西安           20200603          JD3647           P0760             100             100
            北京  --->      深圳           20200603          JD8675           P0146             100             100
            北京  --->      香港           20200603          JD6148           P0898             100             100
            北京  --->      昆明           20200603          JD4418           P0669             100             100
            北京  --->      杭州           20200603          JD9108           P0451             100             100
            北京  --->      厦门           20200603          JD4836           P0189             100             100
            上海  --->      北京           20200603          FM4969           P0130             100             100
            上海  --->      成都           20200603          FM0776           P0090             100             100
            上海  --->      广州           20200603          FM2684           P0470             100             100
            上海  --->      西安           20200603          FM8104           P0059             100             100
            上海  --->      深圳           20200603          FM9366           P0316             100             100
            上海  --->      香港           20200603          FM5926           P0661             100             100
            上海  --->      昆明           20200603          FM5476           P0333             100             100
            上海  --->      杭州           20200603          FM0150           P0900             100             100
            上海  --->      厦门           20200603          FM1456           P0262             100             100
            成都  --->      北京           20200603          EU8188           P0866             100             100
            成都  --->      上海           20200603          EU3550           P0367             100             100
            成都  --->      广州           20200603          EU8279           P0142             100             100
            成都  --->      西安           20200603          EU9508           P0576             100             100
            成都  --->      深圳           20200603          EU3695           P0310             100             100
            成都  --->      香港           20200603          EU1918           P0104             100             100
            成都  --->      昆明           20200603          EU8523           P0080             100             100
            成都  --->      杭州           20200603          EU3233           P0497             100             100
            成都  --->      厦门           20200603          EU4406           P0125             100             100
            广州  --->      北京           20200603          BY1774           P0305             100             100
            广州  --->      上海           20200603          BY8578           P0719             100             100
            广州  --->      成都           20200603          BY7417           P0346             100             100
            广州  --->      西安           20200603          BY6605           P0621             100             100
            广州  --->      深圳           20200603          BY4362           P0844             100             100
            广州  --->      香港           20200603          BY1860           P0084             100             100
            广州  --->      昆明           20200603          BY7107           P0080             100             100
            广州  --->      杭州           20200603          BY3269           P0809             100             100
            广州  --->      厦门           20200603          BY4708           P0088             100             100
            西安  --->      北京           20200603          PN9257           P0948             100             100
            西安  --->      上海           20200603          PN7740           P0102             100             100
            西安  --->      成都           20200603          PN0754           P0551             100             100
            西安  --->      广州           20200603          PN5377           P0515             100             100
            西安  --->      深圳           20200603          PN6914           P0496             100             100
            西安  --->      香港           20200603          PN7442           P0073             100             100
            西安  --->      昆明           20200603          PN5964           P0970             100             100
            西安  --->      杭州           20200603          PN5626           P0811             100             100
            西安  --->      厦门           20200603          PN8942           P0459             100             100
            深圳  --->      北京           20200603          ZH9191           P0611             100             100
            深圳  --->      上海           20200603          ZH6319           P0489             100             100
            深圳  --->      成都           20200603          ZH7196           P0916             100             100
            深圳  --->      广州           20200603          ZH3397           P0758             100             100
            深圳  --->      西安           20200603          ZH0244           P0065             100             100
            深圳  --->      香港           20200603          ZH6187           P0342             100             100
            深圳  --->      昆明           20200603          ZH5049           P0245             100             100
            深圳  --->      杭州           20200603          ZH8721           P0671             100             100
            深圳  --->      厦门           20200603          ZH2484           P0173             100             100
            香港  --->      北京           20200603          HK0580           P0665             100             100
            香港  --->      上海           20200603          HK6885           P0691             100             100
            香港  --->      成都           20200603          HK1296           P0429             100             100
            香港  --->      广州           20200603          HK0036           P0420             100             100
            香港  --->      西安           20200603          HK8707           P0194             100             100
            香港  --->      深圳           20200603          HK4841           P0108             100             100
            香港  --->      昆明           20200603          HK0083           P0742             100             100
            香港  --->      杭州           20200603          HK3354           P0032             100             100
            香港  --->      厦门           20200603          HK3091           P0626             100             100
            昆明  --->      北京           20200603          KY2131           P0973             100             100
            昆明  --->      上海           20200603          KY4514           P0657             100             100
            昆明  --->      成都           20200603          KY9483           P0919             100             100
            昆明  --->      广州           20200603          KY2388           P0203             100             100
            昆明  --->      西安           20200603          KY6772           P0989             100             100
            昆明  --->      深圳           20200603          KY5174           P0973             100             100
            昆明  --->      香港           20200603          KY0499           P0163             100             100
            昆明  --->      杭州           20200603          KY8700           P0259             100             100
            昆明  --->      厦门           20200603          KY8113           P0471             100             100
            杭州  --->      北京           20200603          GJ9885           P0360             100             100
            杭州  --->      上海           20200603          GJ6881           P0080             100             100
            杭州  --->      成都           20200603          GJ9201           P0237             100             100
            杭州  --->      广州           20200603          GJ7683           P0916             100             100
            杭州  --->      西安           20200603          GJ3657           P0361             100             100
            杭州  --->      深圳           20200603          GJ7528           P0442             100             100
            杭州  --->      香港           20200603          GJ2721           P0960             100             100
            杭州  --->      昆明           20200603          GJ6055           P0807             100             100
            杭州  --->      厦门           20200603          GJ1890           P0006             100             100
            厦门  --->      北京           20200603          MF4096           P0028             100             100
            厦门  --->      上海           20200603          MF5098           P0302             100             100
            厦门  --->      成都           20200603          MF5278           P0607             100             100
            厦门  --->      广州           20200603          MF6816           P0006             100             100
            厦门  --->      西安           20200603          MF6434           P0665             100             100
            厦门  --->      深圳           20200603          MF1186           P0885             100             100
            厦门  --->      香港           20200603          MF1166           P0297             100             100
            厦门  --->      昆明           20200603          MF0593           P0025             100             100
            厦门  --->      杭州           20200603          MF5119           P0047             100             100
            北京  --->      上海           20200604          JD7328           P0714             100             100
            北京  --->      成都           20200604          JD2224           P0019             100             100
            北京  --->      广州           20200604          JD7177           P0363             100             100
            北京  --->      西安           20200604          JD0618           P0959             100             100
            北京  --->      深圳           20200604          JD1553           P0362             100             100
            北京  --->      香港           20200604          JD0128           P0970             100             100
            北京  --->      昆明           20200604          JD1901           P0589             100             100
            北京  --->      杭州           20200604          JD5706           P0759             100             100
            北京  --->      厦门           20200604          JD0853           P0423             100             100
            上海  --->      北京           20200604          FM3008           P0685             100             100
            上海  --->      成都           20200604          FM8775           P0947             100             100
            上海  --->      广州           20200604          FM7289           P0024             100             100
            上海  --->      西安           20200604          FM0191           P0201             100             100
            上海  --->      深圳           20200604          FM7956           P0208             100             100
            上海  --->      香港           20200604          FM2725           P0255             100             100
            上海  --->      昆明           20200604          FM0856           P0296             100             100
            上海  --->      杭州           20200604          FM6280           P0882             100             100
            上海  --->      厦门           20200604          FM2503           P0802             100             100
            成都  --->      北京           20200604          EU7850           P0589             100             100
            成都  --->      上海           20200604          EU7720           P0617             100             100
            成都  --->      广州           20200604          EU7548           P0576             100             100
            成都  --->      西安           20200604          EU5941           P0455             100             100
            成都  --->      深圳           20200604          EU2316           P0213             100             100
            成都  --->      香港           20200604          EU1058           P0392             100             100
            成都  --->      昆明           20200604          EU3963           P0295             100             100
            成都  --->      杭州           20200604          EU5600           P0638             100             100
            成都  --->      厦门           20200604          EU0340           P0532             100             100
            广州  --->      北京           20200604          BY5184           P0726             100             100
            广州  --->      上海           20200604          BY8410           P0805             100             100
            广州  --->      成都           20200604          BY6363           P0772             100             100
            广州  --->      西安           20200604          BY8049           P0067             100             100
            广州  --->      深圳           20200604          BY7010           P0483             100             100
            广州  --->      香港           20200604          BY2559           P0868             100             100
            广州  --->      昆明           20200604          BY1298           P0247             100             100
            广州  --->      杭州           20200604          BY2580           P0366             100             100
            广州  --->      厦门           20200604          BY7978           P0894             100             100
            西安  --->      北京           20200604          PN8137           P0523             100             100
            西安  --->      上海           20200604          PN4896           P0244             100             100
            西安  --->      成都           20200604          PN3365           P0710             100             100
            西安  --->      广州           20200604          PN2016           P0726             100             100
            西安  --->      深圳           20200604          PN0358           P0750             100             100
            西安  --->      香港           20200604          PN2966           P0714             100             100
            西安  --->      昆明           20200604          PN3262           P0984             100             100
            西安  --->      杭州           20200604          PN4591           P0549             100             100
            西安  --->      厦门           20200604          PN9083           P0937             100             100
            深圳  --->      北京           20200604          ZH0235           P0693             100             100
            深圳  --->      上海           20200604          ZH5259           P0572             100             100
            深圳  --->      成都           20200604          ZH8854           P0480             100             100
            深圳  --->      广州           20200604          ZH7679           P0977             100             100
            深圳  --->      西安           20200604          ZH7351           P0635             100             100
            深圳  --->      香港           20200604          ZH2432           P0815             100             100
            深圳  --->      昆明           20200604          ZH3960           P0792             100             100
            深圳  --->      杭州           20200604          ZH9600           P0763             100             100
            深圳  --->      厦门           20200604          ZH1591           P0458             100             100
            香港  --->      北京           20200604          HK9443           P0401             100             100
            香港  --->      上海           20200604          HK5564           P0243             100             100
            香港  --->      成都           20200604          HK8205           P0027             100             100
            香港  --->      广州           20200604          HK3756           P0297             100             100
            香港  --->      西安           20200604          HK3453           P0320             100             100
            香港  --->      深圳           20200604          HK0637           P0644             100             100
            香港  --->      昆明           20200604          HK1530           P0710             100             100
            香港  --->      杭州           20200604          HK4924           P0507             100             100
            香港  --->      厦门           20200604          HK4445           P0371             100             100
            昆明  --->      北京           20200604          KY5083           P0143             100             100
            昆明  --->      上海           20200604          KY4768           P0920             100             100
            昆明  --->      成都           20200604          KY9215           P0383             100             100
            昆明  --->      广州           20200604          KY8165           P0848             100             100
            昆明  --->      西安           20200604          KY7817           P0454             100             100
            昆明  --->      深圳           20200604          KY4298           P0959             100             100
            昆明  --->      香港           20200604          KY4899           P0282             100             100
            昆明  --->      杭州           20200604          KY7403           P0166             100             100
            昆明  --->      厦门           20200604          KY3805           P0638             100             100
            杭州  --->      北京           20200604          GJ4521           P0542             100             100
            杭州  --->      上海           20200604          GJ2584           P0531             100             100
            杭州  --->      成都           20200604          GJ0985           P0043             100             100
            杭州  --->      广州           20200604          GJ5268           P0682             100             100
            杭州  --->      西安           20200604          GJ0080           P0644             100             100
            杭州  --->      深圳           20200604          GJ2821           P0814             100             100
            杭州  --->      香港           20200604          GJ0926           P0855             100             100
            杭州  --->      昆明           20200604          GJ1211           P0008             100             100
            杭州  --->      厦门           20200604          GJ1960           P0282             100             100
            厦门  --->      北京           20200604          MF8642           P0202             100             100
            厦门  --->      上海           20200604          MF0235           P0864             100             100
            厦门  --->      成都           20200604          MF6822           P0543             100             100
            厦门  --->      广州           20200604          MF6830           P0256             100             100
            厦门  --->      西安           20200604          MF9659           P0498             100             100
            厦门  --->      深圳           20200604          MF2727           P0908             100             100
            厦门  --->      香港           20200604          MF1197           P0823             100             100
            厦门  --->      昆明           20200604          MF4096           P0817             100             100
            厦门  --->      杭州           20200604          MF1108           P0464             100             100
            北京  --->      上海           20200605          JD1163           P0986             100             100
            北京  --->      成都           20200605          JD1082           P0785             100             100
            北京  --->      广州           20200605          JD0676           P0434             100             100
            北京  --->      西安           20200605          JD3983           P0814             100             100
            北京  --->      深圳           20200605          JD1415           P0905             100             100
            北京  --->      香港           20200605          JD0636           P0363             100             100
            北京  --->      昆明           20200605          JD3473           P0055             100             100
            北京  --->      杭州           20200605          JD3351           P0171             100             100
            北京  --->      厦门           20200605          JD7723           P0823             100             100
            上海  --->      北京           20200605          FM6135           P0637             100             100
            上海  --->      成都           20200605          FM3412           P0134             100             100
